source_team,target_team,goles_local,goles_visita,resultado,stage,fecha
AC Milan,Newcastle United FC,0,0,draw,GROUP_STAGE,2023-09-19
RB Leipzig,BSC Young Boys,1,3,loss,GROUP_STAGE,2023-09-19
SS Lazio,Club Atlético de Madrid,1,1,draw,GROUP_STAGE,2023-09-19
Feyenoord Rotterdam,Celtic FC,2,0,win,GROUP_STAGE,2023-09-19
Paris Saint-Germain FC,Borussia Dortmund,2,0,win,GROUP_STAGE,2023-09-19
Manchester City FC,FK Crvena Zvezda,3,1,win,GROUP_STAGE,2023-09-19
FC Barcelona,Royal Antwerp FC,5,0,win,GROUP_STAGE,2023-09-19
FC Porto,FK Shakhtar Donetsk,1,3,loss,GROUP_STAGE,2023-09-19
Real Madrid CF,1. FC Union Berlin,1,0,win,GROUP_STAGE,2023-09-20
Galatasaray SK,FC København,2,2,draw,GROUP_STAGE,2023-09-20
Sevilla FC,Racing Club de Lens,1,1,draw,GROUP_STAGE,2023-09-20
SSC Napoli,Sporting Clube de Braga,1,2,loss,GROUP_STAGE,2023-09-20
Real Sociedad de Fútbol,FC Internazionale Milano,1,1,draw,GROUP_STAGE,2023-09-20
FC Red Bull Salzburg,Sport Lisboa e Benfica,0,2,loss,GROUP_STAGE,2023-09-20
FC Bayern München,Manchester United FC,4,3,win,GROUP_STAGE,2023-09-20
Arsenal FC,PSV,4,0,win,GROUP_STAGE,2023-09-20
Sporting Clube de Braga,1. FC Union Berlin,2,3,loss,GROUP_STAGE,2023-10-03
Real Sociedad de Fútbol,FC Red Bull Salzburg,0,2,loss,GROUP_STAGE,2023-10-03
Real Madrid CF,SSC Napoli,2,3,loss,GROUP_STAGE,2023-10-03
FC Internazionale Milano,Sport Lisboa e Benfica,1,0,win,GROUP_STAGE,2023-10-03
FC Bayern München,FC København,1,2,loss,GROUP_STAGE,2023-10-03
Galatasaray SK,Manchester United FC,2,3,loss,GROUP_STAGE,2023-10-03
Racing Club de Lens,Arsenal FC,2,1,win,GROUP_STAGE,2023-10-03
PSV,Sevilla FC,2,2,draw,GROUP_STAGE,2023-10-03
Club Atlético de Madrid,Feyenoord Rotterdam,3,2,win,GROUP_STAGE,2023-10-04
FK Shakhtar Donetsk,Royal Antwerp FC,2,3,loss,GROUP_STAGE,2023-10-04
SS Lazio,Celtic FC,1,2,loss,GROUP_STAGE,2023-10-04
Borussia Dortmund,AC Milan,0,0,draw,GROUP_STAGE,2023-10-04
Newcastle United FC,Paris Saint-Germain FC,4,1,win,GROUP_STAGE,2023-10-04
FK Crvena Zvezda,BSC Young Boys,2,2,draw,GROUP_STAGE,2023-10-04
Manchester City FC,RB Leipzig,1,3,loss,GROUP_STAGE,2023-10-04
FC Barcelona,FC Porto,0,1,loss,GROUP_STAGE,2023-10-04
FC Internazionale Milano,FC Red Bull Salzburg,2,1,win,GROUP_STAGE,2023-10-24
FC Bayern München,Galatasaray SK,1,3,loss,GROUP_STAGE,2023-10-24
SSC Napoli,1. FC Union Berlin,0,1,loss,GROUP_STAGE,2023-10-24
Real Madrid CF,Sporting Clube de Braga,1,2,loss,GROUP_STAGE,2023-10-24
Real Sociedad de Fútbol,Sport Lisboa e Benfica,0,1,loss,GROUP_STAGE,2023-10-24
Manchester United FC,FC København,1,0,win,GROUP_STAGE,2023-10-24
Arsenal FC,Sevilla FC,1,2,loss,GROUP_STAGE,2023-10-24
Racing Club de Lens,PSV,1,1,draw,GROUP_STAGE,2023-10-24
Feyenoord Rotterdam,SS Lazio,3,1,win,GROUP_STAGE,2023-10-25
FC Barcelona,FK Shakhtar Donetsk,2,1,win,GROUP_STAGE,2023-10-25
Celtic FC,Club Atlético de Madrid,2,2,draw,GROUP_STAGE,2023-10-25
Paris Saint-Germain FC,AC Milan,3,0,win,GROUP_STAGE,2023-10-25
Borussia Dortmund,Newcastle United FC,0,1,loss,GROUP_STAGE,2023-10-25
Manchester City FC,BSC Young Boys,1,3,loss,GROUP_STAGE,2023-10-25
RB Leipzig,FK Crvena Zvezda,3,1,win,GROUP_STAGE,2023-10-25
FC Porto,Royal Antwerp FC,1,4,loss,GROUP_STAGE,2023-10-25
Borussia Dortmund,Newcastle United FC,2,0,win,GROUP_STAGE,2023-11-07
FK Shakhtar Donetsk,FC Barcelona,1,0,win,GROUP_STAGE,2023-11-07
Club Atlético de Madrid,Celtic FC,6,0,win,GROUP_STAGE,2023-11-07
SS Lazio,Feyenoord Rotterdam,1,0,win,GROUP_STAGE,2023-11-07
AC Milan,Paris Saint-Germain FC,2,1,win,GROUP_STAGE,2023-11-07
Manchester City FC,BSC Young Boys,3,0,win,GROUP_STAGE,2023-11-07
RB Leipzig,FK Crvena Zvezda,1,2,loss,GROUP_STAGE,2023-11-07
FC Porto,Royal Antwerp FC,2,0,win,GROUP_STAGE,2023-11-07
SSC Napoli,1. FC Union Berlin,1,1,draw,GROUP_STAGE,2023-11-08
Real Sociedad de Fútbol,Sport Lisboa e Benfica,3,1,win,GROUP_STAGE,2023-11-08
Real Madrid CF,Sporting Clube de Braga,3,0,win,GROUP_STAGE,2023-11-08
FC Internazionale Milano,FC Red Bull Salzburg,0,1,loss,GROUP_STAGE,2023-11-08
FC Bayern München,Galatasaray SK,2,1,win,GROUP_STAGE,2023-11-08
FC København,Manchester United FC,4,3,win,GROUP_STAGE,2023-11-08
Arsenal FC,Sevilla FC,2,0,win,GROUP_STAGE,2023-11-08
PSV,Racing Club de Lens,1,0,win,GROUP_STAGE,2023-11-08
SS Lazio,Celtic FC,2,0,win,GROUP_STAGE,2023-11-28
FK Shakhtar Donetsk,Royal Antwerp FC,1,0,win,GROUP_STAGE,2023-11-28
Club Atlético de Madrid,Feyenoord Rotterdam,1,3,loss,GROUP_STAGE,2023-11-28
Borussia Dortmund,AC Milan,1,3,loss,GROUP_STAGE,2023-11-28
Paris Saint-Germain FC,Newcastle United FC,1,1,draw,GROUP_STAGE,2023-11-28
BSC Young Boys,FK Crvena Zvezda,2,0,win,GROUP_STAGE,2023-11-28
Manchester City FC,RB Leipzig,3,2,win,GROUP_STAGE,2023-11-28
